event-id,visible,timestamp,location-long,location-lat,eobs:battery-voltage,external-temperature,gsm:gsm-signal-strength,mw:activity-count,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
1006351174,true,2014-08-17 12:00:29.000,23.298366,56.094649,4210,29.0,10,176.0,"gps","Pernis apivorus","DHIG05","DHIG05","Birds of prey Lithuania GPS 2014"
1006351175,true,2014-08-17 14:00:38.000,23.341183,56.134583,4210,28.0,10,176.0,"gps","Pernis apivorus","DHIG05","DHIG05","Birds of prey Lithuania GPS 2014"
1006351176,true,2014-08-17 16:00:20.000,23.357433,56.134166,4210,27.0,10,176.0,"gps","Pernis apivorus","DHIG05","DHIG05","Birds of prey Lithuania GPS 2014"
1006351177,true,2014-08-17 18:00:31.000,23.360916,56.134649,4210,30.0,11,,"gps","Pernis apivorus","DHIG05","DHIG05","Birds of prey Lithuania GPS 2014"
1006351178,true,2014-08-17 20:00:34.000,23.359016,56.134033,4200,30.0,11,10.0,"gps","Pernis apivorus","DHIG05","DHIG05","Birds of prey Lithuania GPS 2014"
1006351179,true,2014-08-17 22:00:27.000,23.359483,56.132549,4200,30.0,11,10.0,"gps","Pernis apivorus","DHIG05","DHIG05","Birds of prey Lithuania GPS 2014"
1006351180,true,2014-08-18 00:00:59.000,23.359133,56.134166,4200,28.0,11,10.0,"gps","Pernis apivorus","DHIG05","DHIG05","Birds of prey Lithuania GPS 2014"
1006351181,true,2014-08-18 01:00:26.000,23.35935,56.134283,4190,27.0,6,5.0,"gps","Pernis apivorus","DHIG05","DHIG05","Birds of prey Lithuania GPS 2014"
1006351182,true,2014-08-18 02:00:40.000,23.358766,56.133933,4190,29.0,6,5.0,"gps","Pernis apivorus","DHIG05","DHIG05","Birds of prey Lithuania GPS 2014"
1006351183,true,2014-08-18 03:00:34.000,23.3591,56.134066,4190,27.0,6,5.0,"gps","Pernis apivorus","DHIG05","DHIG05","Birds of prey Lithuania GPS 2014"
1006351184,true,2014-08-18 04:01:00.000,23.359316,56.133449,4190,25.0,6,5.0,"gps","Pernis apivorus","DHIG05","DHIG05","Birds of prey Lithuania GPS 2014"
1006351185,true,2014-08-18 05:00:24.000,23.357816,56.132799,4210,24.0,11,75.0,"gps","Pernis apivorus","DHIG05","DHIG05","Birds of prey Lithuania GPS 2014"
1006351186,true,2014-08-18 06:00:38.000,23.355066,56.129632,4210,24.0,11,75.0,"gps","Pernis apivorus","DHIG05","DHIG05","Birds of prey Lithuania GPS 2014"
1006351187,true,2014-08-18 07:00:32.000,23.4081,56.20355,4210,22.0,11,75.0,"gps","Pernis apivorus","DHIG05","DHIG05","Birds of prey Lithuania GPS 2014"
1006351188,true,2014-08-18 08:00:36.000,23.407816,56.203616,4210,26.0,11,75.0,"gps","Pernis apivorus","DHIG05","DHIG05","Birds of prey Lithuania GPS 2014"
1006351189,true,2014-08-18 09:00:28.000,23.4036,56.2053,4230,25.0,9,73.0,"gps","Pernis apivorus","DHIG05","DHIG05","Birds of prey Lithuania GPS 2014"
1006351190,true,2014-08-18 10:00:32.000,23.40475,56.202583,4230,26.0,9,73.0,"gps","Pernis apivorus","DHIG05","DHIG05","Birds of prey Lithuania GPS 2014"
1006351191,true,2014-08-18 11:00:13.000,23.438683,56.341083,4230,22.0,9,73.0,"gps","Pernis apivorus","DHIG05","DHIG05","Birds of prey Lithuania GPS 2014"
1006351192,true,2014-08-18 12:01:11.000,23.433299,56.341916,4230,27.0,9,73.0,"gps","Pernis apivorus","DHIG05","DHIG05","Birds of prey Lithuania GPS 2014"
1006351193,true,2014-08-18 13:00:26.000,23.425199,56.342349,4230,23.0,9,90.0,"gps","Pernis apivorus","DHIG05","DHIG05","Birds of prey Lithuania GPS 2014"
1006351194,true,2014-08-18 14:00:39.000,23.423699,56.343183,4230,25.0,9,90.0,"gps","Pernis apivorus","DHIG05","DHIG05","Birds of prey Lithuania GPS 2014"
1006351195,true,2014-08-18 15:00:33.000,23.421882,56.343983,4230,24.0,9,90.0,"gps","Pernis apivorus","DHIG05","DHIG05","Birds of prey Lithuania GPS 2014"
